ROIName,CentralSize,LeftSize,RightSize
Amygdala,NA,1733,1965
Angular,NA,9313,14009
Calcarine,NA,18157,14885
Caudate,NA,7682,7941
Cerebelum_10,NA,1169,1280
Cerebelum_3,NA,1072,1600
Cerebelum_4_5,NA,9034,6763
Cerebelum_6,NA,13672,14362
Cerebelum_7b,NA,4639,4230
Cerebelum_8,NA,15090,18345
Cerebelum_9,NA,6924,6462
Cerebelum_Crus1,NA,20667,21017
Cerebelum_Crus2,NA,15216,17038
Cingulum_Ant,NA,11289,10442
Cingulum_Mid,NA,15512,17442
Cingulum_Post,NA,3715,2654
Cuneus,NA,12133,11323
Frontal_Inf_Oper,NA,8271,11174
Frontal_Inf_Orb,NA,13590,13747
Frontal_Inf_Tri,NA,20104,17132
Frontal_Med_Orb,NA,5792,6870
Frontal_Mid,NA,38722,40374
Frontal_Mid_Orb,NA,7112,8057
Frontal_Sup,NA,28915,32089
Frontal_Sup_Med,NA,23852,16979
Frontal_Sup_Orb,NA,7654,7859
Fusiform,NA,18333,20227
Heschl,NA,1804,1936
Hippocampus,NA,7469,7606
Insula,NA,15025,14128
Lingual,NA,16932,18450
Occipital_Inf,NA,7536,7929
Occipital_Mid,NA,25989,16512
Occipital_Sup,NA,10791,11149
Olfactory,NA,2262,2286
Pallidum,NA,2285,2188
Paracentral,NA,10826,6693
ParaHippocampal,NA,7891,9028
Parietal_Inf,NA,19447,10763
Parietal_Sup,NA,16519,17554
Postcentral,NA,31053,30652
Precentral,NA,28174,27058
Precuneus,NA,28358,26083
Putamen,NA,7942,8510
Rectus,NA,6864,5930
Rolandic_Oper,NA,7939,10733
Supp_Motor_Area,NA,17282,18885
SupraMarginal,NA,9907,15770
Temporal_Inf,NA,25647,28468
Temporal_Mid,NA,39353,35484
Temporal_Pole_Mid,NA,5984,9470
Temporal_Pole_Sup,NA,10228,10654
Temporal_Sup,NA,18307,25258
Thalamus,NA,8700,8399
Vermis_10,874,NA,NA
Vermis_1_2,404,NA,NA
Vermis_3,1822,NA,NA
Vermis_4_5,5324,NA,NA
Vermis_6,2956,NA,NA
Vermis_7,1564,NA,NA
Vermis_8,1940,NA,NA
Vermis_9,1367,NA,NA
